单词,释义
a,"[连]而，可是"
и,"[连]和，还有"
у,"[前](二格)(表领属关系)属于……的; (表处所)在……旁边"
ма́ма,妈妈
мы,我们
ум,智慧
на,"[前](四格)往……上; (六格)在……上"
но,"[连]但是"
он,"[代]他; 它"
па́па,爸爸
по,"[前](三格)沿着……; 每逢"
бом,嘡(钟声)
бум,"热闹; 热潮"
бон,(流送木材的)栏木浮栅
вы,"[代]你们，您"
вон,"[语气]那就是"
ты,[代]你
та,"[代]那，那个(阴性)"
то,"[代]那，那个(中性)"
там,[副]在那里
тут,[副]在这里
том,"卷，册"
тон,"音，调"
вот,[语气]这就是
да,"[语气]是，是的"
до,"[前](二格)到，至，距(表示空间和时间距离的长短)"
дом,房子
дым,烟
дам,(我)给
иду́,(我)步行去
два,[数]两个
лом,"铁棍，铁钎"
мол,"[语气，用作插入语](据某人)说"
мул,马骡
мыл,洗(过去时)
был,"有，在，到，去(быть 的过去时)"
алло́,"[感]喂! (打电话用语)"
ла́мпа,灯
она́,"[代]她; 它"
фо́то,照片
вода́,水
э́то,"这，这是"
луна́,月亮
до́ма,[副]在家里
,
● 人名,
А́нна,安娜(女)
Ива́н,伊万(男)
Анто́н,安东(男)
А́лла,阿拉(女)
И́ра,伊拉(女)
И́нна,茵娜(女)
Ван Лин,王玲
,
● 地名,
Дон,顿河

俄语单词,释义
как,"[副]如何,怎样"
лук,葱
ко́мната,房间
окно́,窗户
кот,公猫
молоко́,牛奶
кто,[代]谁
банк,银行
бу́ква,字母
мно́го,[副]很多
ма́ло,[副]很少
когда́,[副]什么时候
хо́лодно,[副]冷
пло́хо,"[副]不好,坏"
пого́да,天气
бар,酒吧
пар,蒸汽
дар,"礼物,恩赐"
тар,塔尔琴(外高加索的一种民间拨弦乐器)
парк,公园
ры́ба,鱼
уро́к,"课,功课"
брат,兄弟
торт,蛋糕
ка́рта,地图
гру́ппа,"一群,组"
у́тром,"[副](在)早晨"
клуб,俱乐部
друг,朋友
го́род,城市
страна́,国家
звук,声音
за́втра,[副]明天
му́ха,苍蝇
сын,儿子
сок,果汁
суп,汤
сыр,奶酪
стол,桌子
стул,椅子
сло́во,单词
су́мка,书包
заво́д,工厂
расска́з,"故事,短篇小说"
авто́бус,公共汽车
оно́,[代]它
подру́га,女友
соба́ка,狗
зову́т,"(как зову́т) 叫(叫什么名字)"
мину́та,"分钟 (мину́ту 是其第四格形式,意思是“请稍等”)"
спаси́бо,[语气]谢谢
за́втрак,早饭
,
● 俄罗斯人的姓,
Ивано́в,伊万诺夫
,
● 地名,
Во́лга,伏尔加河
Москва́,莫斯科
Во́логда,沃洛格达市
Омск,鄂木斯克

俄语单词,释义
шар,球
жар,"热，热气"
шор,萧氏硬度计
жор,"(鱼类产卵后)复原营养期"
жир,"油(脂)，脂肪"
"наш (на́ша, на́ше, на́ши)","[代]我们的"
"ваш (ва́ша, ва́ше, ва́ши)","[代]你们的"
сто,[数]一百
хорошо́,[副]好
журна́л,杂志
жду,(我)等
шарф,长围巾
шкаф,柜子
шко́ла,"(中、小)学校"
ша́пка,帽子
маши́на,"汽车，轿车; 机器"
каранда́ш,铅笔
нож,刀
ло́жка,"匙，勺子"
жа́рко,热
сад,花园
то́же,"[副]也，同样地"
"мой (моя́, моё, мои́)","[代]我的"
дай,"[命](请)给……"
стой,"[命](请)站住"
май,五月
я,[代]我
